PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2011 MAN;2011 VROUW;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;propedeuse bachelor;20;77;10;80;8;61;16;34;18;44
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;30;42;31;35;23;46;28;67;26;66
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;propedeuse bachelor;29;21;27;38;28;49;20;38;17;29
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;188;602;188;641;188;641;154;592;133;544
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;propedeuse bachelor;177;521;144;452;152;440;153;400;139;360
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;104;64;93;65;84;58;91;52;106;55
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;propedeuse bachelor;98;36;77;35;95;46;110;38;111;33
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;27;542;18;453;21;424;16;428;21;477
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;propedeuse bachelor;17;306;15;249;18;257;14;226;15;151
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;61;97;63;97;67;100;65;126;58;123
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;propedeuse bachelor;51;81;51;84;43;77;39;58;32;46
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;86;68;77;69;71;82;76;65;85;57
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;propedeuse bachelor;51;48;63;34;87;37;87;36;76;38
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56838;B Sociale Geografie en Planologie;voltijd onderwijs;bachelor;109;55;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56838;B Sociale Geografie en Planologie;voltijd onderwijs;propedeuse bachelor;101;32;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;bachelor;0;0;111;48;101;43;99;55;111;63
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;propedeuse bachelor;0;0;87;31;97;33;84;38;87;35
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;master;8;13;10;14;14;14;12;21;11;24
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;master;0;0;0;0;54;22;53;38;64;44
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60253;M Anthropology and Development Studies;voltijd onderwijs;master;6;32;7;30;2;22;7;22;13;25
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60260;M Psychologie;voltijd onderwijs;master;87;288;96;342;75;329;89;371;102;394
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60266;M Behavioural Science (research);voltijd onderwijs;master;18;72;17;64;18;56;18;55;24;52
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;duaal onderwijs;master;0;0;0;0;2;0;4;0;3;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;voltijd onderwijs;master;0;0;0;0;88;72;86;72;91;75
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66601;M Sociologie;voltijd onderwijs;master;15;11;8;12;10;9;11;6;8;8
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66606;M Politicologie;voltijd onderwijs;master;22;16;35;21;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66607;M Pedagogische Wetenschappen;voltijd onderwijs;master;9;269;15;287;11;300;6;304;7;314
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66613;M Onderwijskunde;voltijd onderwijs;master;6;25;4;14;5;21;9;40;11;36
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66615;M Communicatiewetenschap;voltijd onderwijs;master;38;63;30;51;29;64;31;49;35;56
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66620;M Sociale Geografie;duaal onderwijs;master;0;0;1;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66620;M Sociale Geografie;voltijd onderwijs;master;71;68;73;61;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;duaal onderwijs;master;1;0;1;0;3;1;2;2;0;3
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;voltijd onderwijs;master;82;29;70;42;65;46;60;23;58;27
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66627;M Bestuurskunde;voltijd onderwijs;master;56;36;55;50;64;47;76;60;84;59
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66839;M Milieu-Maatschappijwetenschappen;voltijd onderwijs;master;5;13;7;13;10;9;17;10;15;6
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);06551;Geneeskunde;voltijd onderwijs;beroepsfase;3;3;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);06551;Geneeskunde;voltijd onderwijs;initi‘le opleiding;14;17;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;bachelor;257;505;265;494;250;443;241;428;238;429
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;propedeuse bachelor;160;270;153;266;150;280;144;257;144;271
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;bachelor;51;88;44;99;44;99;44;94;40;94
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;propedeuse bachelor;25;58;22;52;26;49;21;54;24;52
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;bachelor;66;118;69;109;69;101;68;103;80;132
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;propedeuse bachelor;60;78;54;78;60;85;55;97;42;91
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;master;288;689;325;762;330;745;353;753;366;754
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66560;M Tandheelkunde;voltijd onderwijs;master;31;44;8;11;1;1;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66588;M Tandheelkunde;voltijd onderwijs;master;38;70;69;119;80;142;75;152;77;159
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66990;M Biomedical Sciences;voltijd onderwijs;master;65;118;71;121;68;135;74;139;92;154
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);50013;B Natuurwetenschappen;voltijd onderwijs;bachelor;28;15;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);50013;B Natuurwetenschappen;voltijd onderwijs;propedeuse bachelor;28;11;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;bachelor;43;0;22;3;19;1;17;0;8;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;propedeuse bachelor;25;3;20;1;5;1;4;1;3;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;bachelor;85;33;65;30;59;29;66;31;60;29
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;propedeuse bachelor;45;16;49;15;52;13;60;18;51;25
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;bachelor;127;174;126;149;155;147;151;187;142;201
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;propedeuse bachelor;160;126;139;132;143;175;140;145;136;142
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;bachelor;0;0;24;11;27;22;27;20;29;14
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;propedeuse bachelor;0;0;33;15;41;13;44;17;48;20
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;bachelor;73;4;58;4;51;5;64;2;87;5
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;propedeuse bachelor;72;7;54;5;94;5;114;10;125;14
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;bachelor;41;25;44;28;46;31;46;30;39;23
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;propedeuse bachelor;55;25;51;19;53;24;61;27;66;34
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;bachelor;47;19;54;17;59;12;68;20;80;34
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;propedeuse bachelor;60;20;68;18;82;34;88;32;116;42
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;bachelor;54;16;66;15;81;22;93;22;100;16
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;propedeuse bachelor;104;17;95;19;120;18;134;13;120;20
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;bachelor;42;49;35;59;36;58;32;51;30;48
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;propedeuse bachelor;34;59;30;43;46;47;37;33;46;37
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60255;M Information Sciences;voltijd onderwijs;master;0;0;35;1;36;5;32;5;36;4
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60303;M Molecular Life Sciences;voltijd onderwijs;master;0;0;0;0;0;0;38;47;37;62
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60322;M Molecular Mechanisms of Disease (research);voltijd onderwijs;master;13;16;16;23;11;30;8;38;10;36
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60364;M Computing Science;voltijd onderwijs;master;0;0;0;0;0;0;89;10;96;11
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60506;M Cognitive Neuroscience (research);voltijd onderwijs;master;29;50;33;55;30;72;28;80;44;78
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60610;M Medical Biology;voltijd onderwijs;master;60;70;42;74;44;82;61;102;74;128
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60810;M Environmental Sciences;voltijd onderwijs;master;11;15;5;7;4;5;1;1;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66842;M Informatiekunde;voltijd onderwijs;master;22;2;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66857;M Chemistry;voltijd onderwijs;master;60;25;76;27;72;22;65;19;74;23
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66860;M Biology;voltijd onderwijs;master;47;38;67;54;74;67;82;71;106;77
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66978;M Informatica;voltijd onderwijs;master;25;2;57;6;82;7;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66980;M Mathematics;voltijd onderwijs;master;26;4;27;11;36;18;46;17;59;23
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66981;M Artificial Intelligence;voltijd onderwijs;master;16;5;16;10;22;8;30;15;42;19
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66982;M Science;voltijd onderwijs;master;11;9;19;10;14;7;15;5;23;12
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66984;M Physics and Astronomy;voltijd onderwijs;master;32;12;44;15;48;15;56;20;70;24
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);69304;M Moleculaire Levenswetenschappen;voltijd onderwijs;master;35;28;41;37;36;42;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68500;M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde;deeltijd onderwijs;master;0;3;0;2;1;2;3;2;0;3
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68500;M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde;voltijd onderwijs;master;3;8;3;2;11;1;4;3;3;5
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68501;M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie;deeltijd onderwijs;master;1;2;2;1;0;0;0;0;1;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68501;M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie;voltijd onderwijs;master;4;1;1;1;0;1;2;1;0;2
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;deeltijd onderwijs;master;3;2;3;2;1;2;2;0;1;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;voltijd onderwijs;master;9;10;9;9;9;10;6;7;10;11
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;deeltijd onderwijs;master;0;1;1;1;0;2;1;1;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;voltijd onderwijs;master;0;3;0;3;1;2;1;1;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;deeltijd onderwijs;master;2;4;1;3;2;5;3;3;1;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;voltijd onderwijs;master;6;24;11;19;3;13;4;23;3;15
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;deeltijd onderwijs;master;1;1;1;0;1;1;0;1;0;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;voltijd onderwijs;master;0;1;1;1;2;2;3;0;2;2
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;deeltijd onderwijs;master;1;1;1;2;1;3;3;2;2;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;voltijd onderwijs;master;14;8;15;2;14;3;11;9;10;7
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68507;M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing;deeltijd onderwijs;master;0;0;1;0;1;0;0;0;0;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68507;M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing;voltijd onderwijs;master;0;1;1;0;3;1;3;3;1;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68508;M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen;deeltijd onderwijs;master;0;1;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68508;M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen;voltijd onderwijs;master;0;6;0;0;0;2;1;2;1;3
